"SARPP Regional Price Parities by state"
"(index)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","LineCode","Description","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"17000","Illinois","4","  RPPs: Services: Utilities",99.159,95.190,96.000,96.136,94.150,91.354,93.624,93.114,93.528,94.309,93.677,93.256,93.284
"17000","Illinois","5","  RPPs: Services: Other",100.480,101.493,101.236,101.636,101.295,100.787,99.147,98.628,100.590,101.195,100.647,98.913,100.417
"18000","Indiana","1","RPPs: All items",92.538,92.980,93.769,93.028,93.195,93.428,93.457,92.239,92.156,91.559,93.315,93.426,92.501
"18000","Indiana","2","  RPPs: Goods",92.909,94.784,96.588,96.578,97.554,97.278,98.401,97.825,97.151,96.164,98.059,96.856,95.179
"18000","Indiana","3","  RPPs: Services: Housing",76.506,75.431,77.573,77.716,75.059,75.423,75.211,74.382,73.639,74.003,74.037,72.549,72.744
"18000","Indiana","4","  RPPs: Services: Utilities",99.013,100.771,95.318,98.857,99.784,103.266,105.984,104.574,101.700,102.917,105.506,105.361,105.382
"18000","Indiana","5","  RPPs: Services: Other",98.460,98.461,98.024,95.795,96.536,96.960,96.106,94.336,95.089,94.151,96.584,98.290,97.815
"19000","Iowa","1","RPPs: All items",88.220,89.796,91.607,90.457,91.293,91.657,92.082,89.866,90.276,89.516,91.596,91.871,91.047
"19000","Iowa","2","  RPPs: Goods",86.902,91.231,95.525,95.539,96.445,95.960,97.031,97.043,96.006,95.089,95.875,97.416,95.047
"19000","Iowa","3","  RPPs: Services: Housing",69.314,69.723,71.849,73.108,72.563,73.644,74.090,69.767,72.822,72.765,70.722,70.219,70.049
"19000","Iowa","4","  RPPs: Services: Utilities",95.048,90.505,90.843,91.605,91.677,96.285,98.768,94.466,93.283,95.100,96.280,98.519,98.538
"19000","Iowa","5","  RPPs: Services: Other",96.744,97.011,96.590,93.138,94.649,95.056,94.703,92.372,92.593,91.429,96.494,96.378,96.905
"20000","Kansas","1","RPPs: All items",90.729,92.290,93.597,93.375,94.036,93.651,94.051,93.406,92.620,92.094,93.054,93.109,92.364
"20000","Kansas","2","  RPPs: Goods",88.767,93.754,95.595,95.960,97.017,96.345,97.088,97.463,96.584,96.027,94.973,97.275,95.358
"20000","Kansas","3","  RPPs: Services: Housing",74.707,74.707,75.779,76.763,75.581,76.211,74.287,75.213,73.822,73.719,73.879,72.163,72.089
"20000","Kansas","4","  RPPs: Services: Utilities",104.915,101.277,105.713,108.351,109.050,112.729,114.577,109.527,110.266,113.661,116.933,112.262,112.285
"20000","Kansas","5","  RPPs: Services: Other",96.781,96.977,97.704,96.315,97.491,96.676,97.721,96.098,95.736,94.874,97.182,97.047,97.122
"21000","Kentucky","1","RPPs: All items",90.135,88.983,90.646,91.046,90.816,91.560,91.277,90.873,90.565,90.211,89.530,89.969,89.778
"21000","Kentucky","2","  RPPs: Goods",96.413,93.568,96.600,95.426,93.955,95.053,95.131,94.156,95.346,94.732,93.235,94.827,95.090
"21000","Kentucky","3","  RPPs: Services: Housing",63.094,63.498,64.878,65.343,65.531,66.739,64.996,65.172,62.747,63.301,63.573,63.001,62.805
"21000","Kentucky","4","  RPPs: Services: Utilities",89.279,94.429,94.083,96.898,95.487,100.031,102.377,100.965,100.525,101.376,104.788,101.940,101.960
"21000","Kentucky","5","  RPPs: Services: Other",97.603,96.595,97.342,98.557,99.099,98.980,98.959,98.520,98.432,97.476,96.454,97.019,97.266
"22000","Louisiana","1","RPPs: All items",92.830,92.039,93.803,94.047,94.285,94.205,94.335,93.996,94.462,93.476,91.985,91.819,92.716
"22000","Louisiana","2","  RPPs: Goods",96.527,94.121,96.773,96.224,95.604,96.234,96.468,95.497,96.156,95.991,93.722,95.354,95.800
"22000","Louisiana","3","  RPPs: Services: Housing",70.553,74.081,74.164,73.782,75.186,74.619,74.401,73.784,73.810,73.101,71.168,70.523,70.569
"22000","Louisiana","4","  RPPs: Services: Utilities",112.745,101.790,107.857,105.673,100.536,101.120,104.123,102.154,101.605,99.323,102.500,100.141,100.163
"22000","Louisiana","5","  RPPs: Services: Other",97.688,96.854,98.350,99.705,100.461,100.030,99.996,100.404,101.095,99.269,98.317,97.349,99.831
"23000","Maine","1","RPPs: All items",97.834,97.382,95.436,95.936,96.206,96.659,93.133,95.748,94.844,96.547,96.650,96.491,96.776
"23000","Maine","2","  RPPs: Goods",100.299,100.755,98.269,98.434,99.115,98.502,98.308,99.439,99.119,100.379,100.987,99.247,99.039
"23000","Maine","3","  RPPs: Services: Housing",90.700,87.617,84.743,91.098,90.499,88.220,79.902,83.557,78.976,81.073,85.623,82.809,82.815
"23000","Maine","4","  RPPs: Services: Utilities",63.243,63.001,61.489,61.166,61.440,59.366,62.273,64.677,63.158,64.049,64.544,69.792,69.786
"23000","Maine","5","  RPPs: Services: Other",101.049,101.182,99.859,98.076,98.306,100.891,96.745,99.864,100.267,102.120,99.784,101.466,103.018
"24000","Maryland","1","RPPs: All items",108.452,109.806,108.048,109.162,107.087,108.162,107.686,107.715,106.853,106.662,106.025,104.833,106.472
"24000","Maryland","2","  RPPs: Goods",104.854,107.901,104.183,104.946,103.749,104.768,102.832,102.060,102.609,102.246,102.587,101.467,103.797
"24000","Maryland","3","  RPPs: Services: Housing",131.827,132.297,131.576,134.900,131.841,134.809,133.813,129.755,127.202,127.882,126.218,127.048,127.129
"24000","Maryland","4","  RPPs: Services: Utilities",111.003,114.267,111.620,107.512,103.007,103.907,103.454,104.943,105.125,102.390,100.704,98.445,98.471
"24000","Maryland","5","  RPPs: Services: Other",104.100,104.189,103.704,104.787,102.559,103.089,103.784,105.198,103.773,103.689,102.777,101.104,102.164
"25000","Massachusetts","1","RPPs: All items",105.707,104.638,104.398,104.299,103.700,102.687,104.235,104.505,107.435,106.209,106.791,106.663,107.442
"25000","Massachusetts","2","  RPPs: Goods",98.562,97.889,99.852,101.558,101.359,100.972,104.182,102.302,103.824,104.039,102.756,103.842,105.012
"25000","Massachusetts","3","  RPPs: Services: Housing",130.671,131.263,132.234,131.930,130.410,129.873,132.261,130.974,131.471,129.033,129.495,132.140,132.187
"25000","Massachusetts","4","  RPPs: Services: Utilities",94.965,91.214,86.098,84.788,83.465,85.443,88.676,95.540,92.267,93.008,99.675,98.143,98.153
"25000","Massachusetts","5","  RPPs: Services: Other",105.064,103.275,101.827,100.858,100.212,98.662,99.180,100.570,104.761,102.946,104.235,102.921,102.943
"26000","Michigan","1","RPPs: All items",95.540,95.747,95.628,94.959,94.731,95.072,95.536,93.809,93.591,92.546,94.236,95.111,94.045
"26000","Michigan","2","  RPPs: Goods",95.407,97.832,98.327,98.623,98.289,98.440,98.651,97.880,97.899,97.350,98.447,96.162,94.819
"26000","Michigan","3","  RPPs: Services: Housing",86.406,84.847,84.967,83.339,82.337,82.290,83.221,81.786,82.733,81.457,80.708,81.545,81.563
"26000","Michigan","4","  RPPs: Services: Utilities",93.165,95.136,95.445,98.276,100.650,101.304,99.575,96.737,97.473,96.534,98.011,95.951,95.974
"26000","Michigan","5","  RPPs: Services: Other",99.321,98.671,97.924,96.589,96.603,97.182,97.644,95.251,94.474,93.180,96.048,99.057,98.123
"27000","Minnesota","1","RPPs: All items",96.351,98.592,97.858,97.549,97.578,97.905,98.723,97.432,97.202,96.643,99.437,98.670,98.625
"27000","Minnesota","2","  RPPs: Goods",96.256,99.810,98.274,99.322,99.665,98.653,101.236,100.333,98.563,100.158,101.373,100.787,99.437
"27000","Minnesota","3","  RPPs: Services: Housing",94.635,95.242,94.914,93.688,96.247,96.508,94.623,95.167,95.637,95.454,95.116,96.634,96.793
"27000","Minnesota","4","  RPPs: Services: Utilities",83.440,81.321,78.597,82.738,81.529,86.766,87.869,85.121,84.968,86.783,88.829,87.009,87.023
"27000","Minnesota","5","  RPPs: Services: Other",97.778,99.976,99.696,98.449,97.501,98.463,99.072,97.050,97.471,95.531,100.139,98.659,99.351
"28000","Mississippi","1","RPPs: All items",89.157,86.837,89.445,89.927,89.126,89.755,89.761,89.178,89.165,88.134,87.185,87.600,87.775
"28000","Mississippi","2","  RPPs: Goods",96.105,93.040,96.564,95.387,93.404,94.684,94.168,93.476,94.400,93.909,92.907,94.867,95.556
"28000","Mississippi","3","  RPPs: Services: Housing",59.225,58.119,59.917,60.541,59.403,60.128,59.421,59.159,59.556,59.012,57.371,55.986,56.091
"28000","Mississippi","4","  RPPs: Services: Utilities",117.044,113.852,116.250,112.272,109.594,110.455,117.371,117.281,110.198,104.901,110.185,110.003,110.010
"28000","Mississippi","5","  RPPs: Services: Other",96.587,94.766,96.623,98.378,99.078,99.240,99.481,98.818,98.506,97.045,95.961,96.439,96.767
"29000","Missouri","1","RPPs: All items",89.350,90.998,93.537,92.926,92.927,93.522,94.397,92.967,92.489,92.466,92.394,92.986,92.494
"29000","Missouri","2","  RPPs: Goods",87.462,91.622,96.585,95.410,95.922,96.920,97.820,97.507,96.467,96.352,96.173,98.304,98.318
"29000","Missouri","3","  RPPs: Services: Housing",74.346,72.915,74.531,74.217,73.931,75.473,74.199,74.047,73.163,71.843,70.667,71.478,71.521
"29000","Missouri","4","  RPPs: Services: Utilities",97.471,97.659,99.218,104.695,105.048,107.295,108.156,107.378,106.655,106.206,109.600,105.952,105.974
"29000","Missouri","5","  RPPs: Services: Other",95.829,96.989,98.067,97.227,96.910,96.838,98.517,95.884,95.870,96.463,96.701,96.566,95.923
"30000","Montana","1","RPPs: All items",95.825,94.603,93.212,95.623,93.867,93.904,95.140,96.444,94.159,95.501,92.201,94.110,92.443
"30000","Montana","2","  RPPs: Goods",99.855,99.778,99.403,99.803,97.798,95.907,97.258,101.568,101.905,101.901,96.062,98.868,95.855
"30000","Montana","3","  RPPs: Services: Housing",75.995,73.418,72.216,78.646,75.161,76.543,80.239,80.621,75.423,76.208,75.597,79.055,79.377
"30000","Montana","4","  RPPs: Services: Utilities",86.443,83.366,77.337,80.593,79.863,81.198,79.981,79.261,80.507,83.755,79.881,80.750,80.758
"30000","Montana","5","  RPPs: Services: Other",100.747,99.798,97.905,99.624,98.659,99.661,99.791,99.461,96.710,99.330,96.493,97.264,95.839
"31000","Nebraska","1","RPPs: All items",90.842,91.673,92.985,92.462,93.087,92.835,92.920,92.259,91.662,90.838,92.852,93.383,92.890
"31000","Nebraska","2","  RPPs: Goods",89.580,92.494,95.631,95.684,96.582,96.018,97.162,97.351,96.420,95.384,94.772,97.305,94.999
"31000","Nebraska","3","  RPPs: Services: Housing",75.036,74.507,76.817,78.268,76.641,75.662,75.225,77.339,75.335,75.138,76.616,75.457,75.621
"31000","Nebraska","4","  RPPs: Services: Utilities",92.021,91.230,91.744,94.278,98.490,102.425,101.410,100.045,102.063,105.023,103.210,103.261,103.276
"31000","Nebraska","5","  RPPs: Services: Other",97.434,97.269,96.648,94.659,95.677,95.903,95.559,93.442,93.503,92.471,96.517,96.603,97.489
"32000","Nevada","1","RPPs: All items",101.560,103.617,100.868,102.055,101.707,99.773,99.192,98.649,97.399,100.221,96.468,98.909,97.056
"32000","Nevada","2","  RPPs: Goods",96.224,101.586,98.211,99.507,99.682,97.591,96.524,96.232,95.279,99.691,95.542,98.753,96.284
"32000","Nevada","3","  RPPs: Services: Housing",118.997,112.898,108.316,105.216,103.586,100.743,98.131,98.806,97.270,100.049,102.018,104.761,104.638
"32000","Nevada","4","  RPPs: Services: Utilities",109.275,110.106,107.552,103.087,107.920,102.869,102.692,102.341,102.134,98.779,96.974,96.667,96.703
"32000","Nevada","5","  RPPs: Services: Other",99.355,101.112,99.571,102.693,102.156,100.903,101.453,100.210,98.743,100.738,95.343,97.219,94.785
"33000","New Hampshire","1","RPPs: All items",105.908,103.578,102.874,102.339,101.885,101.615,101.418,102.462,104.413,104.205,103.105,103.374,103.713
"33000","New Hampshire","2","  RPPs: Goods",98.903,98.428,98.536,99.944,99.878,99.513,101.745,101.237,101.720,101.998,101.450,100.684,101.457
"33000","New Hampshire","3","  RPPs: Services: Housing",125.492,119.172,121.995,118.540,121.735,121.998,117.891,116.526,115.159,116.166,111.204,112.885,112.901
"33000","New Hampshire","4","  RPPs: Services: Utilities",78.968,78.565,77.589,78.119,78.804,79.789,79.324,83.272,83.984,84.680,86.371,87.091,87.089
"33000","New Hampshire","5","  RPPs: Services: Other",107.080,103.876,101.838,100.738,99.197,98.866,98.116,100.404,104.032,103.160,102.636,103.116,103.241
"34000","New Jersey","1","RPPs: All items",106.864,110.934,108.462,109.286,109.310,108.833,108.971,109.020,108.919,109.230,110.832,110.878,111.163
"34000","New Jersey","2","  RPPs: Goods",103.763,104.569,100.245,102.232,104.382,104.877,102.129,103.900,103.464,101.618,106.691,105.309,106.713
"34000","New Jersey","3","  RPPs: Services: Housing",150.187,150.684,148.579,147.572,150.751,146.798,146.221,145.898,145.279,141.406,142.712,141.201,141.040
"34000","New Jersey","4","  RPPs: Services: Utilities",117.600,119.939,121.304,118.625,114.819,115.391,108.714,107.507,105.769,104.358,102.571,103.632,103.651
"34000","New Jersey","5","  RPPs: Services: Other",98.695,104.990,103.812,104.500,102.660,102.137,104.696,103.825,103.979,106.535,106.150,107.297,106.462
"35000","New Mexico","1","RPPs: All items",94.928,96.101,94.628,96.923,96.537,95.472,95.415,94.613,94.089,95.598,91.800,93.198,91.567
"35000","New Mexico","2","  RPPs: Goods",97.805,100.704,97.840,98.774,99.200,97.601,97.212,98.613,98.088,100.869,96.139,99.194,96.807
"35000","New Mexico","3","  RPPs: Services: Housing",78.170,78.812,78.764,82.674,82.172,80.781,80.534,75.839,77.559,77.572,75.297,75.126,75.247
"35000","New Mexico","4","  RPPs: Services: Utilities",93.268,84.612,87.469,87.374,91.759,92.483,89.680,89.523,89.896,91.295,86.398,87.089,87.114
"35000","New Mexico","5","  RPPs: Services: Other",99.822,100.893,99.328,101.853,100.498,99.937,100.370,99.868,98.133,99.607,95.553,96.903,95.245
"36000","New York","1","RPPs: All items",111.057,110.656,109.540,110.462,109.519,109.438,108.746,109.478,109.862,109.755,109.346,109.463,110.212
"36000","New York","2","  RPPs: Goods",112.139,109.597,108.347,108.024,108.683,107.454,107.790,108.095,107.880,108.070,106.768,105.264,106.875
"36000","New York","3","  RPPs: Services: Housing",135.159,136.728,137.398,139.365,139.502,138.120,139.877,137.735,137.529,136.084,135.010,135.120,135.110
"36000","New York","4","  RPPs: Services: Utilities",104.347,99.823,100.939,100.867,100.466,102.662,102.602,99.630,96.670,95.759,95.817,94.176,94.183
