Institution,number
Rhode Island ,308
Brown U. ,204
Salve Regina U. ,5
U. RI ,99
,
South Carolina ,491
Clemson U. ,187
Medical U. SC ,28
"U. SC, Columbia ",276
,
South Dakota ,76
Dakota State U. ,4
SD School of Mines and Technology ,8
SD State U. ,45
U. SD ,19
,
Tennessee ,829
East TN State U. ,11
Meharry Medical C. ,10
Mid-America Baptist Theological Seminary ,6
Middle TN State U. ,23
TN State U. ,8
TN Technological U. ,12
U. Memphis ,129
"U. TN, Health Science Ctr. ",25
"U. TN, Knoxville ",319
Vanderbilt U. ,286
,
Texas ,"3,626"
Baylor C. of Medicine ,84
Baylor U. ,70
Brite Divinity S. ,8
Dallas Theological Seminary ,10
Lamar U. ,10
Prairie View A&M U. ,4
Rice U. ,170
Sam Houston State U. ,27
Southern Methodist U. ,51
Southwestern Baptist Theological Seminary ,17
"St. Mary's U., San Antonio ",8
TX A&M Health Science Ctr. ,30
"TX A&M U., College Station ",669
"TX A&M U., Commerce ",19
"TX A&M U., Corpus Christi ",21
"TX A&M U., Kingsville ",10
TX Christian U. ,21
TX Southern U. ,20
"TX State U., San Marcos ",44
TX Tech U. ,266
"TX Tech U., Health Sciences Ctr. ",10
TX Woman's U. ,64
U. Dallas ,8
U. Houston ,220
"U. North TX, Denton ",159
"U. North TX, Health Science Ctr. ",11
"U. TX, Arlington ",145
"U. TX, Austin ",798
"U. TX, Dallas ",173
"U. TX, El Paso ",84
"U. TX, Health Science Ctr., Houston ",113
"U. TX, Health Science Ctr., San Antonio ",46
"U. TX, Medical Branch ",37
"U. TX, Pan American ",16
"U. TX, San Antonio ",82
"U. TX, Southwestern Medical Ctr., Dallas ",85
"U. of St. Thomas, Houston ",2
U. of the Incarnate Word ,14
,
Utah ,522
"Brigham Young U., Provo ",100
U. UT ,316
"UT State U., Logan ",106
,
Vermont ,73
Middlebury C. ,3
U. VT ,70
,
Virginia ,"1,564"
C. of William and Mary ,50
George Mason U. ,241
Hampton U. ,8
James Madison U. ,7
Norfolk State U. ,5
Old Dominion U. ,105
Regent U. ,68
"U. VA, Charlottesville ",378
Union Presbyterian Seminary ,2
VA Commonwealth U. ,226
VA Polytechnic Institute and State U. ,474
,
Washington ,930
Gonzaga U. ,11
Seattle Pacific U. ,20
"U. WA, Seattle ",645
WA State U. ,254
,
West Virginia ,197
Marshall U. ,13
WV U. ,184
,
Wisconsin ,"1,021"
Cardinal Stritch U. ,25
Marquette U. ,72
Medical C. WI ,37
"U. WI, Madison ",735
"U. WI, Milwaukee ",152
,
Wyoming ,66
U. WY ,66
