GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "13380","Bellingham, WA (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2012) dollars)","Thousands of chained 2012 dollars",7886629,7416180,7750329,7667522,8208969,8185953,8388367,8933033,9264842,9393800,9541133,10114737,10761407
 "13460","Bend, OR (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2012) dollars)","Thousands of chained 2012 dollars",6250264,5836368,5950390,6240941,6608000,6986886,7294340,7989876,8596194,9095425,9534392,10049280,10907634
 "13740","Billings, MT (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2012) dollars)","Thousands of chained 2012 dollars",7067653,6853318,7269331,7326307,7872844,7953069,8341223,8511078,8720529,8854476,9323298,9419157,10027152
 "13780","Binghamton, NY (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2012) dollars)","Thousands of chained 2012 dollars",9369390,9541081,9688716,9677205,9878701,9676951,9886869,9796647,9779307,10110540,10233589,10504928,11230593
 "13820","Birmingham-Hoover, AL (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2012) dollars)","Thousands of chained 2012 dollars",47735383,46229714,46401207,46760048,48434664,47690060,48944795,51760413,51496892,53765144,56553483,57330575,58592436
 "13900","Bismarck, ND (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2012) dollars)","Thousands of chained 2012 dollars",4911201,5057984,5521782,6080260,6427864,6569422,7060783,7200419,7082742,7230930,7349206,7414060,7624854
 "13980","Blacksburg-Christiansburg, VA (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2012) dollars)","Thousands of chained 2012 dollars",5445033,5572352,5357555,5407140,5605685,5475173,5712158,5937276,6152646,6355997,6225227,6379451,6715231
 "14010","Bloomington, IL (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2012) dollars)","Thousands of chained 2012 dollars",7245312,7252703,7396722,7776457,7727259,7918170,7683557,8119479,8235068,8292779,8260155,8132213,8966865
 "14020","Bloomington, IN (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2012) dollars)","Thousands of chained 2012 dollars",5471018,5329128,5444177,5575671,5774067,5695344,5850272,6232799,6542324,6820132,6955672,7073404,7523674
 "14100","Bloomsburg-Berwick, PA (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2012) dollars)","Thousands of chained 2012 dollars",3221070,3205388,3336086,3451995,3458522,3438553,3551832,3577569,3668794,3674145,3780625,3842691,4114163
 "14260","Boise City, ID (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2012) dollars)","Thousands of chained 2012 dollars",23473689,22024263,22837031,23121949,24208931,25379261,26617130,28640006,30109484,30770260,33485328,34249124,37548537
 "14460","Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2012) dollars)","Thousands of chained 2012 dollars",252043888,252555505,262005860,267636523,276236152,279019296,284004671,303175868,302074004,316060615,319894714,328984440,342485530
 "14500","Boulder, CO (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2012) dollars)","Thousands of chained 2012 dollars",15087656,13970914,15078733,15195309,15670467,16298931,17473753,18782835,19248262,20264775,21571850,22043685,22931148
 "14540","Bowling Green, KY (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2012) dollars)","Thousands of chained 2012 dollars",5636688,5610736,5598832,5816806,5898715,5782034,6075710,6412543,6645361,6714689,6750411,6784065,7263497
 "14740","Bremerton-Silverdale-Port Orchard, WA (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2012) dollars)","Thousands of chained 2012 dollars",10510299,10383523,10780813,10731012,10971269,10933164,11234735,11771889,11874432,12190197,12825298,13421415,14168942
 "14860","Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2012) dollars)","Thousands of chained 2012 dollars",83584190,82341375,89686522,86597753,86073781,79832668,83014297,85882335,87039750,89445442,96655182,97367887,96880544
