GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "49998","Utah (Metropolitan Portion)",7,PAIRPD,1,"...","Implicit regional price deflator","Index",91.986,94.481,94.134,98.548,100.333,100.665,101.155,100.810,101.054,105.388,104.954,108.136,107.076
 "49999","Utah (Nonmetropolitan Portion)",7,PAIRPD,1,"...","Implicit regional price deflator","Index",91.047,91.231,89.232,92.480,91.773,94.031,95.844,99.720,97.363,100.378,97.803,98.729,97.726
 "50998","Vermont (Metropolitan Portion)",1,PAIRPD,1,"...","Implicit regional price deflator","Index",97.115,97.760,96.308,99.084,101.348,104.186,104.043,104.955,106.463,110.102,109.770,111.820,113.836
 "50999","Vermont (Nonmetropolitan Portion)",1,PAIRPD,1,"...","Implicit regional price deflator","Index",94.320,93.258,94.186,95.695,98.282,99.609,99.418,102.182,101.903,104.726,106.926,107.028,108.544
 "51998","Virginia (Metropolitan Portion)",5,PAIRPD,1,"...","Implicit regional price deflator","Index",99.363,98.548,101.409,103.583,104.468,106.945,108.476,108.934,109.270,109.315,112.313,111.898,114.175
 "51999","Virginia (Nonmetropolitan Portion)",5,PAIRPD,1,"...","Implicit regional price deflator","Index",82.345,81.041,84.449,85.543,88.074,89.667,91.342,91.318,90.939,91.716,96.217,95.310,96.112
 "53998","Washington (Metropolitan Portion)",8,PAIRPD,1,"...","Implicit regional price deflator","Index",98.613,98.962,98.426,101.523,103.187,104.099,107.058,107.291,110.004,114.479,116.131,118.728,120.535
 "53999","Washington (Nonmetropolitan Portion)",8,PAIRPD,1,"...","Implicit regional price deflator","Index",92.694,91.786,91.372,94.376,95.278,97.265,98.617,99.883,100.228,103.704,108.267,107.648,107.886
 "54998","West Virginia (Metropolitan Portion)",5,PAIRPD,1,"...","Implicit regional price deflator","Index",84.989,83.730,87.400,89.857,91.357,92.843,95.030,95.969,96.959,96.369,98.657,98.743,99.583
 "54999","West Virginia (Nonmetropolitan Portion)",5,PAIRPD,1,"...","Implicit regional price deflator","Index",79.982,78.297,82.178,84.247,85.040,87.949,88.921,89.803,89.059,90.966,93.169,93.740,94.360
 "55998","Wisconsin (Metropolitan Portion)",3,PAIRPD,1,"...","Implicit regional price deflator","Index",91.414,91.202,92.343,93.898,95.968,97.120,98.785,98.569,100.112,101.718,103.472,105.448,105.307
 "55999","Wisconsin (Nonmetropolitan Portion)",3,PAIRPD,1,"...","Implicit regional price deflator","Index",79.465,81.519,85.907,87.467,89.195,90.073,91.583,90.320,89.960,90.838,97.580,99.249,98.833
 "56998","Wyoming (Metropolitan Portion)",7,PAIRPD,1,"...","Implicit regional price deflator","Index",88.168,91.914,92.194,97.475,98.842,99.563,101.293,99.809,100.337,103.560,102.434,103.067,102.887
 "56999","Wyoming (Nonmetropolitan Portion)",7,PAIRPD,1,"...","Implicit regional price deflator","Index",91.502,90.893,91.492,94.989,96.504,97.411,100.354,101.363,102.411,103.287,100.844,102.530,102.492
"Note: See the included footnote file."
"PAIRPD: Implicit Regional Price Deflators by Portion "
"Last updated: December 14, 2021-- new statistics for 2020; revised statistics for 2008-2019."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
